Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-001,Pump,450.0,12.5,45.0
Pump-002,Pump,460.0,12.0,42.0
Pump-003,Pump,440.0,13.0,46.0
Comp-101,Compressor,320.0,18.5,88.0
Comp-102,Compressor,315.0,18.0,85.0
Valve-V1,Valve,100.0,2.5,30.0
Valve-V2,Valve,110.0,2.6,32.0
Valve-V3,Valve,95.0,2.4,28.0
HX-201,HeatExchanger,260.0,4.5,95.0
HX-202,HeatExchanger,255.0,4.2,92.0
React-301,Reactor,150.0,6.5,120.0
React-302,Reactor,155.0,6.8,122.0
React-303,Reactor,145.0,6.2,118.0
Cond-401,Condenser,200.0,3.5,50.0
Cond-402,Condenser,210.0,3.6,52.0
